Flow_Duration,Protocol,Src_IP,Dst_IP,Total_Fwd_Packets,Total_Backward_Packets,Label
7840,UDP,10.182.19.172,10.208.180.150,9,7,Normal
24066,TCP,172.16.150.36,10.35.179.210,10,11,Normal
14061,UDP,172.18.131.161,41.149.86.179,7,7,Normal
15531,TCP,10.250.182.107,226.119.189.21,24,1,Attack
23235,TCP,172.21.26.27,109.115.177.8,18,9,Normal
5090,ICMP,10.130.89.205,172.24.205.53,3,1,Normal
29290,UDP,10.41.100.132,192.168.150.36,7,9,Normal
21714,UDP,231.253.10.216,200.117.197.193,9,11,Normal
15977,TCP,10.141.190.247,192.168.99.78,16,7,Normal
38957,TCP,192.168.135.151,172.30.163.231,14,16,Normal
19007,TCP,192.168.240.40,192.168.79.164,13,12,Normal
26870,UDP,10.16.59.148,10.213.77.181,31,0,Attack
28697,TCP,192.168.0.22,172.25.116.22,15,15,Normal
10397,UDP,33.19.189.139,172.22.240.128,5,8,Normal
19411,TCP,192.168.225.22,19.13.103.211,39,9,Attack
26402,TCP,172.25.58.210,172.27.146.201,15,9,Normal
27296,TCP,192.168.185.217,172.28.151.199,11,12,Normal
21099,TCP,172.31.253.206,172.17.14.52,7,13,Normal
19818,UDP,89.47.62.191,172.30.102.92,5,9,Normal
30992,TCP,192.168.180.94,113.66.117.11,17,16,Normal
20624,UDP,172.31.102.31,10.31.118.136,9,4,Normal
18342,TCP,10.86.227.234,10.249.106.232,8,6,Normal
22101,ICMP,172.17.179.129,172.25.220.60,2,1,Normal
40515,UDP,10.182.179.135,10.75.143.20,9,4,Normal
21475,UDP,172.31.111.96,145.39.228.143,15,12,Attack
12120,TCP,192.168.125.176,172.26.88.161,8,8,Normal
12206,TCP,10.81.157.203,192.168.92.167,14,6,Normal
4847,TCP,192.168.207.9,10.187.166.241,6,9,Normal
31113,TCP,192.168.168.192,5.226.52.227,6,15,Normal
11547,TCP,10.194.145.17,82.226.233.149,8,10,Normal
10974,UDP,188.110.178.119,103.109.76.220,9,2,Normal
